# omp v18.1.8 596f2da7101178214aa27a753529d15e6b7ad91d
path	bytes	lines	role	surface
.bazelignore	47	0	other	REPO-BUILD
.bazelrc	5020	0	other	REPO-BUILD
.bazelversion	6	0	other	REPO-BUILD
.cargo/config.toml	1763	29	other	REPO-BUILD
.config/nextest.toml	1135	24	other	REPO-BUILD
.dockerignore	1889	0	other	REPO-BUILD
.fallowrc.jsonc	1212	31	other	REPO-BUILD
.gitattributes	1032	0	other	REPO-BUILD
.github/ISSUE_TEMPLATE/bug_report.yml	2524	110	other	REPO-BUILD
.github/ISSUE_TEMPLATE/config.yml	507	11	other	REPO-BUILD
.github/ISSUE_TEMPLATE/feature_request.yml	1178	48	other	REPO-BUILD
.github/ISSUE_TEMPLATE/question.yml	726	38	other	REPO-BUILD
.github/PULL_REQUEST_TEMPLATE.md	253	17	doc	REPO-BUILD
.github/SECURITY.md	536	18	doc	REPO-BUILD
.github/actionlint.yaml	215	6	other	REPO-BUILD
.github/actions/bazel-cache/action.yml	7898	158	other	REPO-BUILD
.github/actions/bazel-natives/action.yml	1885	50	other	REPO-BUILD
.github/actions/bun-install/action.yml	5844	110	other	REPO-BUILD
.github/actions/native-artifacts/action.yml	1260	38	other	REPO-BUILD
.github/actions/setup-system-deps/action.yml	1239	26	other	REPO-BUILD
.github/workflows/bazel-cache-warm.yml	4195	97	other	REPO-BUILD
.github/workflows/ci.yml	48822	978	other	REPO-BUILD
.github/workflows/nix.yml	1371	61	other	REPO-BUILD
.gitignore	1398	0	other	REPO-BUILD
.omp/commands/cleanup.md	6890	103	doc	REPO-BUILD
.omp/commands/fix-issues.md	5084	136	doc	REPO-BUILD
.omp/commands/release.md	1043	41	doc	REPO-BUILD
.omp/commands/review-prs.md	4692	128	doc	REPO-BUILD
.omp/commands/triage.md	5288	111	doc	REPO-BUILD
.omp/skills/semantic-compression/SKILL.md	14227	142	doc	REPO-BUILD
.omp/skills/system-prompts/SKILL.md	9393	182	doc	REPO-BUILD
.omp/skills/system-prompts/small-models.md	3442	65	doc	REPO-BUILD
.omp/skills/tool-prompt-optimization/SKILL.md	7144	116	doc	REPO-BUILD
.omp/skills/tool-prompt-optimization/scripts/probe-builtin.ts	6075	162	src	REPO-BUILD
.omp/skills/tool-prompt-optimization/scripts/probe.ts	7990	225	src	REPO-BUILD
.omp/tools/bun.lock	3479	40	other	REPO-BUILD
.omp/tools/package.json	133	8	other	REPO-BUILD
.omp/tools/tui.ts	44104	1369	src	REPO-BUILD
.oxfmtrc.json	683	28	other	REPO-BUILD
.oxlintrc.json	1580	59	other	REPO-BUILD
AGENTS.md	27015	336	doc	REPO-DOCS
BUILD.bazel	2174	0	other	REPO-BUILD
CONTRIBUTING.md	4180	101	doc	REPO-DOCS
Cargo.lock	255713	10664	other	REPO-BUILD
Cargo.toml	29577	465	other	REPO-BUILD
Dockerfile	8161	0	other	REPO-BUILD
Dockerfile.dockerignore	2086	0	other	REPO-BUILD
Dockerfile.robomp	3494	0	other	REPO-BUILD
Dockerfile.robomp.dockerignore	2432	0	other	REPO-BUILD
LICENSE	1144	0	other	REPO-BUILD
MODULE.bazel	14996	0	other	REPO-BUILD
MODULE.bazel.lock	4076113	13769	other	REPO-BUILD
README.md	44043	699	doc	REPO-DOCS
THIRD-PARTY-NOTICES.txt	1077086	22909	other	REPO-BUILD
about.toml	748	31	other	REPO-BUILD
assets/arxiv.webp	1571796	0	other	REPO-BUILD
assets/ask.webp	2426670	0	other	REPO-BUILD
assets/banner.html	5869	183	other	REPO-BUILD
assets/discovery.webp	63212	0	other	REPO-BUILD
assets/hero.png	158485	0	other	REPO-BUILD
assets/icon.svg	795	0	other	REPO-BUILD
assets/lspv.webp	854564	0	other	REPO-BUILD
assets/models.webp	494618	0	other	REPO-BUILD
assets/perplexity.webp	2789360	0	other	REPO-BUILD
assets/python.webp	75058	0	other	REPO-BUILD
assets/review.webp	10070404	0	other	REPO-BUILD
assets/slash.webp	1036706	0	other	REPO-BUILD
assets/task.webp	1856084	0	other	REPO-BUILD
assets/ttsr.webp	3459936	0	other	REPO-BUILD
bazel/BUILD.bazel	59	0	other	REPO-BUILD
bazel/clippy.bazelrc	4807	0	other	REPO-BUILD
bazel/defs.bzl	3778	91	other	REPO-BUILD
bazel/patches/BUILD.bazel	111	0	other	REPO-BUILD
bazel/patches/audiopus-sys-libdir.patch	451	0	other	REPO-BUILD
